Name, SMILE
Benzene,C1=CC=CC=C1
Methanol,CO
Propane,CCC
Methyl Acetate,CC(=O)OC
t-Butyl Acetate,CC(=O)OC(C)(C)C
Methyl Formate,COC=O
Ethyl Acetate,CCOC(=O)C
n-Butane,CCCC
Isobutylene,CC(=C)C
n-Butyl Isocyanate,CCCCN=C=O
Methyl Butyrate,CCCC(=O)OC
n-Butylamine,CCCCN
"N,N-Dimethylformamide",CN(C)C=O
Tetrahydrofuran,C1CCOC1
4-Methyl-1-pentene,CC(C)CC=C
p-Xylene,CC1=CC=C(C=C1)C
Methylene Chloride,C(Cl)Cl
2-Butene,CC=CC
1-Bromo-2-chloroethane,C(CBr)Cl
1-Octene,CCCCCCC=C
2-Methyl-2-butene,CC=C(C)C
Cumene,CC(C)C1=CC=CC=C1
Methyl Vinyl Sulfide,CSC=C
n-Butyronitrile,CCCC#N
2-Methyl-1-butene,CCC(=C)C
Ethylbenzene,CCC1=CC=CC=C1
Formaldehyde,C=O
1-Hexadecene,CCCCCCCCCCCCCCC=C
2-Butanone,CCC(=O)C
n-Butyl Isothiocyanate,CCCCN=C=S
Methyl 3-Cyanopropionate,COC(=O)CCC#N
Tri-n-butylamine,CCCCN(CCCC)CCCC
3-Methyl-2-butanone,CC(C)C(=O)C
Isobutyronitrile,CC(C)C#N
Tetrakis(dimethylamino)ethylene,CN(C)C(=C(N(C)C)N(C)C)N(C)C
Di-n-butylamine,CCCCNCCCC
Methyl Chloroacetate,COC(=O)CCl
3-Methyl-1-butene,CC(C)C=C
"1,2-Dibromoethane",C(CBr)Br
Dimethylamine,CNC
